site_id,lat,lon,state,region,n_cells,operators,radio_mix,in_electrified,dist_to_grid_km,grid_line_source,dist_to_road_km,slope_deg,terrain_distance_km,pvout_kwh_kwp_day,displaced_fraction,displaced_litres,avoided_tco2e,delivered_cost_per_litre_usd,annual_savings_usd,capex_usd,payback_years,population_served,facilities_served,ookla_avg_d_kbps,ookla_tests,ookla_devices,predicted_d_kbps,residual_kbps,confidence_tier,rank_carbon_per_1k,rank_payback,rank_people_per_tonne,rank_combined,top_factors
MY-00000,4.48623,117.29569,Sabah,Sabah,5,1,"GSM,LTE",False,14.19,predicted,16.08,15.5,21.62,4.412,0.676,8783.0,23.1,2.66,23359.0,57131.0,2.45,723,0,6196.0,24,10,9222.0,-3026.0,thin,0.4043,2.45,31.3,50.9,pvout:+0.14|dist_road:+0.13|population:-0.04|slope:-0.04
MY-00001,3.83577,103.66859,Terengganu,Peninsular,1,1,"GSM,LTE",True,4.52,osm,8.59,1.9,8.95,4.068,0.658,8560.0,22.51,1.658,14193.0,48268.0,3.4,5861,1,24312.0,28,7,11652.0,12660.0,strong,0.4664,3.4,260.4,67.3,pvout:+0.12|dist_road:+0.06|population:+0.15|slope:-0.24
MY-00002,4.65629,119.08945,Sabah,Sabah,8,2,LTE,False,9.41,predicted,14.68,2.9,15.64,3.732,0.642,8341.0,21.94,2.187,18242.0,52948.0,2.9,100,0,,0,0,,,unknown,0.4143,2.9,4.6,33.2,pvout:+0.39|dist_road:+0.16|population:-0.20|slope:+0.06
MY-00003,0.94517,109.94132,Sarawak,Sarawak,3,3,GSM,False,10.74,predicted,12.49,8.9,14.96,4.232,0.667,8666.0,22.79,2.133,18488.0,52475.0,2.84,347,0,7791.0,20,8,9734.0,-1944.0,thin,0.4343,2.84,15.2,42.7,pvout:+0.26|dist_road:+0.30|population:+0.02|slope:-0.13
MY-00005,5.2695,116.76336,Sabah,Sabah,2,3,"GSM,LTE",False,15.27,predicted,19.22,10.6,23.75,3.949,0.652,8482.0,22.31,2.829,23992.0,58628.0,2.44,462,0,18561.0,38,17,9320.0,9240.0,thin,0.3805,2.44,20.7,43.4,pvout:+0.28|dist_road:+0.17|population:+0.08|slope:-0.15
MY-00006,1.63228,113.06756,Sarawak,Sarawak,8,3,"GSM,LTE",False,10.7,predicted,20.59,13.5,26.76,3.512,0.631,8198.0,21.56,3.066,25138.0,60733.0,2.42,1764,0,971.0,31,10,9494.0,-8523.0,thin,0.355,2.42,81.8,55.4,pvout:+0.17|dist_road:+0.07|population:+0.19|slope:-0.13
MY-00007,7.21009,118.79053,Sabah,Sabah,3,1,GSM,False,12.17,osm,8.02,3.3,8.61,3.59,0.635,8249.0,21.69,1.631,13453.0,48027.0,3.57,384,0,12391.0,31,11,10522.0,1869.0,strong,0.4517,3.57,17.7,39.1,pvout:+0.39|dist_road:+0.13|population:+0.04|slope:-0.14
MY-00008,1.6349,102.56749,Perak,Peninsular,7,2,LTE,False,5.5,osm,1.86,4.8,2.06,3.915,0.651,8460.0,22.25,1.113,9419.0,43445.0,4.61,1905,1,10087.0,30,14,11332.0,-1244.0,strong,0.5121,4.61,85.6,58.3,pvout:+0.29|dist_road:+0.29|population:+0.04|slope:-0.12
MY-00009,4.60601,114.33223,Sarawak,Sarawak,7,3,GSM,False,2.92,predicted,8.89,3.8,9.63,4.01,0.656,8522.0,22.41,1.712,14587.0,48743.0,3.34,2579,1,3757.0,22,8,11158.0,-7402.0,thin,0.4598,3.34,115.1,63.0,pvout:+0.31|dist_road:+0.11|population:+0.10|slope:+0.01
MY-00010,3.90375,102.91095,Pahang,Peninsular,5,3,"GSM,LTE",False,3.26,osm,3.14,2.5,3.31,3.389,0.624,8118.0,21.35,1.212,9840.0,44320.0,4.5,3158,0,7403.0,26,9,11662.0,-4259.0,strong,0.4817,4.5,147.9,55.3,pvout:+0.14|dist_road:+0.25|population:+0.17|slope:-0.21
MY-00011,5.71752,119.24647,Sabah,Sabah,1,2,"GSM,LTE",False,4.47,predicted,21.08,7.6,24.63,4.049,0.657,8547.0,22.48,2.898,24770.0,59243.0,2.39,281,0,,0,0,,,unknown,0.3794,2.39,12.5,40.0,pvout:+0.16|dist_road:+0.17|population:+0.19|slope:-0.05
MY-00012,3.15292,109.99166,Sarawak,Sarawak,3,1,"GSM,LTE",False,14.95,predicted,22.78,3.9,24.77,3.654,0.638,8290.0,21.8,2.909,24119.0,59342.0,2.46,705,0,,0,0,,,unknown,0.3674,2.46,32.3,45.7,pvout:+0.21|dist_road:+0.15|population:-0.20|slope:-0.24
MY-00013,4.79846,118.78689,Sabah,Sabah,5,3,"GSM,UMTS",False,2.51,predicted,12.6,7.1,14.59,4.284,0.669,8700.0,22.88,2.104,18305.0,52215.0,2.85,263,0,11136.0,34,7,9786.0,1350.0,thin,0.4382,2.85,11.5,40.8,pvout:+0.13|dist_road:+0.09|population:-0.14|slope:-0.04
MY-00014,6.38853,99.95236,Terengganu,Peninsular,5,2,GSM,True,3.93,predicted,9.29,2.7,9.85,3.794,0.645,8381.0,22.04,1.729,14491.0,48894.0,3.37,3042,0,20286.0,25,7,11294.0,8992.0,thin,0.4508,3.37,138.0,61.3,pvout:+0.26|dist_road:+0.06|population:+0.10|slope:-0.20
MY-00015,4.7931,104.2385,Johor,Peninsular,5,2,LTE,False,5.6,predicted,9.11,5.4,10.2,3.563,0.633,8231.0,21.65,1.756,14456.0,49137.0,3.4,3345,0,,0,0,,,unknown,0.4406,3.4,154.5,59.9,pvout:+0.18|dist_road:+0.35|population:+0.06|slope:-0.24
